startup,market_cap,raised_amount_usd
TRI,2692348176.9,0.0
INUV,16448406250.0,4200000.0
GRPN,23797125253.6,1147288400.0
GOGO,3370403254.1,248000000.0
MSLP,1854145800.0,15670000.0
ESPR,3688118756.1,55750000.0
LTNC,874139972.5,0.0
VSTA,247635769.2,41250000.0
CLVS,38733411975.0,356962750.0
CRWG,32646847.3,12453330.0
JTPY,73234831.0,10000000.0
GFOO,222642750.0,3000000.0
ONCS,32288705200.0,15000000.0
ASTV,0.0,12155000.0
AVEO,10961321300.0,52499996.0
GSM,856926210.5,0.0
LBTYA,2760859817.8,0.0
AGIO,1112688408.9,86823940.0
TNDM,5408427750.0,100689120.0
ST,866881480.8,0.0
tigr,1657517400.0,0.0
FMI,1236235084.5,258462430.0
TSRO,8530887934.7,252000000.0
