id,funding_round_id,funded_object_id,investor_object_id,created_at,updated_at
1,1,c:4,f:1,7/4/2007 4:52,2/27/2008 23:14
2,1,c:4,f:2,7/4/2007 4:52,2/27/2008 23:14
3,3,c:5,f:4,5/27/2007 6:09,6/28/2013 20:07
4,4,c:5,f:1,5/27/2007 6:09,6/28/2013 20:07
5,4,c:5,f:5,5/27/2007 6:09,6/28/2013 20:07
6,4,c:5,f:6,5/27/2007 6:09,6/28/2013 20:07
7,4,c:5,f:3181,5/27/2007 6:09,6/28/2013 20:07
8,5,c:7299,f:3,5/29/2007 11:05,4/16/2008 17:09
9,6,c:9,f:6,5/31/2007 20:19,1/19/2009 18:29
10,7,c:9,f:7,5/31/2007 20:35,1/19/2009 18:29
11,8,c:13,f:29,6/1/2007 19:14,3/10/2011 2:38
12,9,c:14,f:48,6/1/2007 20:09,3/17/2008 4:11
13,9,c:14,f:83,6/1/2007 20:09,3/17/2008 4:11
14,11,c:15,f:14,6/2/2007 7:38,4/12/2011 0:57
15,12,c:16,f:8,6/4/2007 8:48,11/20/2008 2:59
16,12,c:16,f:10,6/4/2007 8:48,11/20/2008 2:59
17,12,c:16,f:11,6/4/2007 8:48,11/20/2008 2:59
18,12,c:16,f:1262,6/4/2007 8:48,11/20/2008 2:59
19,13,c:16,f:12,6/5/2007 5:56,11/20/2008 2:59
20,13,c:16,f:10,6/5/2007 5:56,11/20/2008 2:59
21,13,c:16,f:11,6/5/2007 5:56,11/20/2008 2:59
22,14,c:15,f:14,6/2/2007 7:49,6/2/2008 21:46
23,14,c:15,f:13,6/2/2007 7:49,6/2/2008 21:46
24,16,c:18,f:636,6/5/2007 12:39,8/22/2011 21:33
25,16,c:18,f:62,6/5/2007 12:39,8/22/2011 21:33
26,18,c:22,f:16,6/7/2007 11:57,9/27/2012 2:47
27,19,c:23,f:17,6/9/2007 7:24,2/24/2010 18:50
28,19,c:23,f:18,6/9/2007 7:24,2/24/2010 18:50
29,20,c:27,f:17,6/9/2007 14:32,5/20/2008 20:43
30,20,c:27,f:3181,6/9/2007 14:32,5/20/2008 20:43
31,21,c:27,f:17,6/13/2007 9:32,5/20/2008 20:43
32,21,c:27,f:728,6/13/2007 9:32,5/20/2008 20:43
33,21,c:27,f:1080,6/13/2007 9:32,5/20/2008 20:43
34,22,c:30,f:23,6/11/2007 19:36,5/13/2008 15:59
35,22,c:30,f:6,6/11/2007 19:36,5/13/2008 15:59
36,22,c:30,f:168,6/11/2007 19:36,5/13/2008 15:59
37,23,c:31,f:24,6/12/2007 4:31,6/14/2008 2:11
38,23,c:31,f:26,6/12/2007 4:31,6/14/2008 2:11
39,23,c:31,f:25,6/12/2007 4:31,6/14/2008 2:11
40,24,c:31,f:26,6/12/2007 5:22,6/14/2008 2:11
41,27,c:34,f:127,6/13/2007 9:04,9/6/2013 11:20
42,27,c:34,f:67,6/13/2007 9:04,9/6/2013 11:20
43,28,c:34,f:127,6/13/2007 9:05,9/6/2013 11:20
44,28,c:34,f:67,6/13/2007 9:05,9/6/2013 11:20
45,29,c:27,f:17,6/13/2007 9:33,5/20/2008 20:43
46,29,c:27,f:1080,6/13/2007 9:33,5/20/2008 20:43
47,30,c:27,f:262,6/13/2007 9:33,3/4/2010 14:10
48,31,c:35,f:29,6/13/2007 18:26,7/18/2013 17:28
49,31,c:35,f:18,6/13/2007 18:26,7/18/2013 17:28
50,31,c:35,f:30,6/13/2007 18:26,7/18/2013 17:28
51,31,c:35,f:31,6/13/2007 18:26,7/18/2013 17:28
52,32,c:38,f:32,6/14/2007 18:34,7/31/2013 7:52
53,32,c:38,f:26,6/14/2007 18:34,7/31/2013 7:52
54,32,c:38,f:242,6/14/2007 18:34,7/31/2013 7:52
55,33,c:40,f:34,6/15/2007 9:36,6/3/2008 19:26
56,33,c:40,f:35,6/15/2007 9:36,6/3/2008 19:26
57,34,c:40,f:421,6/15/2007 9:44,6/3/2008 19:26
58,34,c:40,f:36,6/15/2007 9:44,6/3/2008 19:26
59,34,c:40,f:37,6/15/2007 9:44,6/3/2008 19:26
60,34,c:40,f:34,6/15/2007 9:44,6/3/2008 19:26
61,35,c:43,f:12,6/16/2007 5:19,2/25/2008 0:23
62,36,c:44,f:36,6/16/2007 6:01,1/27/2009 17:58
63,36,c:44,f:1287,6/16/2007 6:01,1/27/2009 17:58
64,37,c:44,f:29,6/16/2007 6:13,1/27/2009 17:58
65,37,c:44,f:38,6/16/2007 6:13,1/27/2009 17:58
66,37,c:44,f:1396,6/16/2007 6:13,1/27/2009 17:58
67,38,c:44,f:38,6/16/2007 6:12,1/27/2009 17:58
68,39,c:53,f:41,6/18/2007 11:45,12/6/2013 20:45
69,40,c:53,f:42,6/18/2007 11:47,12/6/2013 20:45
70,41,c:46,f:44,6/19/2007 3:17,5/5/2008 20:05
71,41,c:46,f:43,6/19/2007 3:17,5/5/2008 20:05
72,43,c:54,f:31,6/20/2007 11:04,2/25/2008 0:23
73,44,c:54,f:31,6/20/2007 11:05,2/25/2008 0:23
74,44,c:54,f:45,6/20/2007 11:05,2/25/2008 0:23
75,45,c:58,f:48,6/21/2007 5:16,9/24/2013 22:33
76,45,c:58,f:46,6/21/2007 5:16,9/24/2013 22:33
77,45,c:58,f:5,6/21/2007 5:16,9/24/2013 22:33
78,45,c:58,f:2,6/21/2007 5:16,9/24/2013 22:33
