CountryCode,SeriesCode,Year,DESCRIPTION
ABW,IT.NET.SECR,YR2012,"December, 2012"
ABW,PA.NUS.PPP,YR2016,ICP annual PPP estimate
ABW,PA.NUS.PPP,YR2015,ICP annual PPP estimate
ABW,PA.NUS.PRVT.PP,YR2016,ICP annual PPP estimate
ABW,PA.NUS.PRVT.PP,YR2012,ICP annual PPP estimate
ABW,PA.NUS.PRVT.PP,YR2013,ICP annual PPP estimate
ABW,PA.NUS.PPP,YR2014,ICP annual PPP estimate
ABW,PA.NUS.PRVT.PP,YR2015,ICP annual PPP estimate
ABW,PA.NUS.PPP,YR2012,ICP annual PPP estimate
ABW,PA.NUS.PPP,YR2013,ICP annual PPP estimate
ABW,PA.NUS.PRVT.PP,YR2014,ICP annual PPP estimate
ABW,PA.NUS.PPP,YR2011,ICP benchmark PPP
ABW,PA.NUS.PRVT.PP,YR2017,ICP benchmark PPP
ABW,PA.NUS.PPP,YR2017,ICP benchmark PPP
ABW,PA.NUS.PRVT.PP,YR2011,ICP benchmark PPP
ABW,SL.TLF.CACT.MA.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.TLF.CACT.FE.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.UEM.TOTL.MA.NE.ZS,YR2001,LFS - Labour Force Survey.
ABW,SL.UEM.TOTL.NE.ZS,YR2001,LFS - Labour Force Survey.
ABW,SL.EMP.TOTL.SP.FE.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.EMP.TOTL.SP.MA.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.UEM.TOTL.FE.NE.ZS,YR2001,LFS - Labour Force Survey.
ABW,SL.UEM.TOTL.MA.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.TLF.CACT.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.UEM.TOTL.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.EMP.TOTL.SP.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.UEM.TOTL.FE.NE.ZS,YR2011,LFS - Labour Force Survey.
ABW,SL.UEM.TOTL.MA.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.UEM.TOTL.FE.NE.ZS,YR1997,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.UEM.TOTL.FE.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.EMP.TOTL.SP.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.UEM.TOTL.MA.NE.ZS,YR1994,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.UEM.TOTL.NE.ZS,YR1994,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.EMP.TOTL.SP.FE.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.EMP.TOTL.SP.MA.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.UEM.TOTL.NE.ZS,YR1997,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.UEM.TOTL.MA.NE.ZS,YR1997,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.UEM.TOTL.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.UEM.TOTL.FE.NE.ZS,YR1994,LFS - Labour Force Survey. Data reference period: October.
ABW,SL.TLF.CACT.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October. Population coverage: Including armed forces and/or conscripts.
ABW,SL.TLF.ACTI.1524.MA.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October. Population coverage: Including armed forces and/or conscripts.
ABW,SL.TLF.CACT.MA.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October. Population coverage: Including armed forces and/or conscripts.
ABW,SL.TLF.CACT.FE.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October. Population coverage: Including armed forces and/or conscripts.
ABW,SL.TLF.ACTI.1524.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October. Population coverage: Including armed forces and/or conscripts.
ABW,SL.TLF.ACTI.1524.FE.NE.ZS,YR2007,LFS - Labour Force Survey. Data reference period: October. Population coverage: Including armed forces and/or conscripts.
ABW,SL.UEM.1524.NE.ZS,YR1991,PC - Population and Housing Census. Data reference period: October. Age coverage - minimum age: 14 years old.
ABW,SL.EMP.TOTL.SP.FE.NE.ZS,YR1991,PC - Population and Housing Census. Data reference period: October. Age coverage - minimum age: 14 years old.
ABW,SL.UEM.TOTL.FE.NE.ZS,YR1991,PC - Population and Housing Census. Data reference period: October. Age coverage - minimum age: 14 years old.
ABW,SL.UEM.TOTL.MA.NE.ZS,YR1991,PC - Population and Housing Census. Data reference period: October. Age coverage - minimum age: 14 years old.
ABW,SL.EMP.TOTL.SP.NE.ZS,YR1991,PC - Population and Housing Census. Data reference period: October. Age coverage - minimum age: 14 years old.
ABW,SL.EMP.TOTL.SP.MA.NE.ZS,YR1991,PC - Population and Housing Census. Data reference period: October. Age coverage - minimum age: 14 years old.
